cache-size,block-size,associativity,replacementPolicy,totalBlock,tagSize,indexSize,totalNumRow,overHeadSize(bytes),impMemSize(KB),cost,totalCacheAccess,cacheHits,cacheMiss,compulsoryMiss,conflictMiss,hitRate,missRate,CPI,unusedCacheSpace,unusedCacheBlocks,waste
512,4,1,RR,131072,13,17,131072,229376,736.0,51.52,482641,441844,40797,34443,6354,91.54713337656769,8.452866623432314,4.670446600748304,73.72207641601562,96629,37.98161376953125
512,8,2,RND,65536,14,15,32768,122880,632.0,44.24,420288,398069,22219,20658,1561,94.71338701081163,5.28661298918837,4.5582355697943315,68.4783935546875,44878,30.294841308593753
1024,16,4,RR,65536,14,14,16384,122880,1144.0,80.08000000000001,387850,375148,12702,12652,50,96.72502256026814,3.274977439731856,4.568065703244444,80.694580078125,52884,64.62021972656251
1024,64,8,RND,16384,15,11,2048,32768,1056.0,73.92,366344,361494,4850,4824,26,98.67610770205053,1.3238922979494703,4.927290048478423,70.556640625,11560,52.155468750000004
256,4,4,RND,65536,16,14,16384,139264,392.0,27.44,482641,442967,39674,36903,2771,91.7798114955008,8.220188504499205,4.657504936194405,43.69049072265625,28633,11.988670654296875
512,4,1,RND,131072,13,17,131072,229376,736.0,51.52,475872,449076,26796,23828,2968,94.36907403671576,5.630925963284241,4.4648839191773355,81.8206787109375,107244,42.154013671875006
512,8,2,RR,65536,14,15,32768,122880,632.0,44.24,413303,398385,14918,14272,646,96.39054156393735,3.6094584360626527,4.3169279093164175,78.22265625,51264,34.605703125000005
1024,16,5,RND,81920,14,14,16384,153600,1174.0,82.18,377255,368486,8769,8755,14,97.67557752713681,2.3244224728631906,4.282602852293585,86.98230333994357,73165,71.48205688476563
1024,64,8,RR,16384,15,11,2048,32768,1056.0,73.92,354809,351321,3488,3479,9,99.01693587253988,0.9830641274601248,4.53512760058674,78.765869140625,12905,58.223730468750006
256,4,4,RND,65536,16,14,16384,139264,392.0,27.44,475872,449819,26053,25559,494,94.52520845941766,5.474791540582345,4.456324734469438,61.00006103515625,39977,16.738416748046877
512,8,1,RND,65536,13,16,65536,114688,624.0,43.68000000000001,490514,473970,16544,14648,1896,96.62721145573828,3.3727885442617236,4.328253598282832,77.64892578125,50888,33.917050781250005
512,4,2,RR,131072,14,16,65536,245760,752.0,52.64000000000001,580244,553594,26650,26288,362,95.40710459737628,4.592895402623725,4.505606473616982,79.94384765625,104784,42.082441406250005
1024,16,8,RND,65536,15,13,8192,131072,1152.0,80.64000000000001,446309,435972,10337,10328,9,97.68389165354048,2.316108346459515,4.311931286954002,84.24072265625,55208,67.93171875
1024,64,8,RR,16384,15,11,2048,32768,1056.0,73.92,417698,414037,3661,3651,10,99.12352943993028,0.8764705600697198,4.4665850221888626,77.716064453125,12733,57.447714843750006
256,4,4,RND,65536,16,14,16384,139264,392.0,27.44,580244,553627,26617,26303,314,95.41279185997614,4.587208140023861,4.505280554128972,59.86480712890625,39233,16.426903076171875
